,0
375,Post-Apocalyptic
376,Post-rock
377,Powwow Step
378,Prairiecore
379,Preppy
380,Princecore
381,Princesscore
382,Progressive Academia
383,Psychedelica
384,Punk
385,Purism
386,Queencore
387,Queer Academia
388,Queercore
389,R&B
390,Racaille
391,Rainbowcore
392,Rainy Day
393,Rangercore
394,Ratcore
395,Ravencore
396,Raver
397,Real Life Super Hero
398,Realism
399,Reefwave
400,Regency
401,Regional Gothic
402,Retro-Futurism
403,Rivethead
404,Roaring 20s
405,Robotics Kids
406,Rockabilly
407,Rococo
408,Rococopunk
409,Rollerwave
410,Roma
411,Romantic Goth
412,Romanticism
413,Romantic Academia
414,Romantic Italian
415,Royalcore
416,Rural China
417,Rusticcore
418,Sadpeople
419,Salon Kei
420,Sandalpunk
421,Sanriocore
422,Science Academia
423,Scrapbook
424,Scrapper
425,Scene
426,Scoutcore
427,Scuttlers
428,Seapunk
429,Selkiecore
430,Shanzhai
431,Shamate
432,Shabby Chic
433,Sharpies
434,Shironuri
435,Sizz
436,Skinheads
437,Slimepunk
438,Sloanies
439,Slutcore
440,Snailcore
441,Snowdrop
442,Soft Apocalypse
443,Softie
444,Soft Macabre
445,Soggy
446,Solarpunk
447,Soulboys
448,Southern Gothic
449,Sovietwave
450,Spacecore
451,Sparklecore
452,Spiritcore
453,Spring
454,Spy_Fiction
455,Steampunk
456,Steelpunk
457,Stilyagi
458,Stimwave
459,Stonepunk
460,Stoner
461,Stripcore
462,Studyblr
463,Studyplace
464,Styla
465,Suburban Gothic
466,Sukeban
467,Summer
468,Suprematism
469,Surf Crush
470,Surrealism
471,Surreal Memer
472,Swenkas
473,Swordpunk
474,Synthwave
475,Takenokozoku
476,Tenwave
477,Techwear
478,Teddies
479,Technical Scene
480,Teethcore
481,Theatre Academia
482,Theatre Kids
483,Thrasher
484,Thriftcore
485,Tomboy
486,Trad Goth
487,Traditional Polish
488,Trailer Park Princess
489,Trashcore
490,Traumacore
491,Trendercore
492,Trillwave
493,Tropical
494,Tupinipunk
495,Tweencore
496,Twee
497,Ukiyo-e
498,Ulzzang
499,Urbancore
500,Unicorncore
501,Vacation Dadcore
502,Vampire
503,Vaporwave
504,Vibrant Academia
505,Victorian
506,Victorian Goth
507,Viking
508,Vintage
509,Vintage Academia
510,Vintage Parisian
511,Virgo's Tears
512,Visual Kei
513,VSCO
514,Voidpunk
515,Vorticism
516,Vulture Culture
517,Wabi-Sabi
518,Waif
519,Waldorf
520,Wanderlust
521,Wandervogel
522,Warmcore
523,Web Creep
524,Weirdcore
525,Western
526,Winter
527,Witchy Academia
528,Witch House
529,Witchcore
530,Wizardcore
531,Wonderland
532,Woodland_goth
533,Wormcore
534,Writer Academia
535,Y2K
536,Yakuza
537,Yami Kawaii
538,Yankeecore
539,Yanki
540,Yume Kawaii
541,Yandere
542,Zazou
543,Zef
544,Zentai
545,Zombiecore
546,1950s Suburbia
547,2 Tone
548,70s Disco
